pid,saved
6830323721316683013,N
6846283335740738822,N
6847367217168829701,Y
6847351243992550662,Y
6847246589329739013,Y
6847232188627389702,Y
6847196499810471173,Y
6847168355007253766,Y
6847040416987073797,Y
6847008628533202182,Y
6846945843619122437,Y
6846936581262085382,Y
6846922450861706501,Y
6846893939123817734,Y
6846861689699192070,Y
6846672664753474821,Y
6846634216050937094,Y
6846585419719576838,Y
6846566069126155525,Y
6846553450965224710,Y
6846508042259827973,Y
6846310172281949446,Y
6846295514648988934,Y
6846284551895977221,Y
6846260617016347909,Y
6846254733775129861,Y
6846253911184002309,Y
6846219347120131333,Y
6846215841084640517,Y
6846170225155558661,Y
6846134850974469382,Y
6846102487234006278,Y
6846086499126021382,Y
6846070426603490566,Y
6846044939311156486,Y
6845939076328197381,Y
6845931377649601797,Y
6845894853906189573,Y
6845817153598328070,Y
6845807941476502789,Y
6845789206032256262,Y
6845760056470883590,Y
6845758787761065221,Y
6845728632489381125,Y
6845713296230714630,Y
6845552429962972421,Y
6845549289536621829,Y
6845505764237266182,Y
6845478682568543493,Y
6845458693748772102,Y
6845334590064823558,Y
6845300661584760069,Y
6845299565692734725,Y
6845274329295392005,Y
6845256923101662470,Y
6845164069427629318,Y
6845151444237061381,Y
6845150342326373638,Y
6845123960460365061,Y
6845101539980283141,Y
6845074720191204614,Y
6845047790029081861,Y
6845013241282743558,Y
6844993192056704262,Y
6844834960298282245,Y
6844754188530978053,Y
6844732031985880326,Y
6844702289760914694,Y
6844643800078486790,Y
6844570866471193861,Y
6844453825156304133,Y
6844433148659371270,Y
6844406107981597957,Y
6844379010575650054,Y
6844374787939208453,Y
6844357597953264902,Y
6844337235874073862,Y
6844249923148467462,Y
6844168282174459141,Y
6844153926682463493,Y
6844135102759406853,Y
6844048424686439685,Y
6844021157461642502,Y
6844018637947391238,Y
6843878963903745285,Y
6843859538060381445,Y
6843846695688637702,Y
6843827929030462725,Y
6843687953873538310,Y
6843671611317521669,Y
6843643434033597701,Y
6843601297636216070,Y
6843575930712001798,Y
6843475037400485126,Y
6843471856897363205,Y
6843440320202411270,Y
6843354826978512134,Y
6843320354279132421,Y
6843257045618150661,Y
6843253248502091013,Y
6843222618003279109,Y
6843176467187109125,Y
6843058890209316102,Y
6843043026676256006,Y
6842976646346050822,Y
6842939126916992261,Y
6842907334293916933,Y
6842889104355626245,Y
6842871321379065094,Y
6842838843536805126,Y
6842799183884307718,Y
6842784550423186694,Y
6842771310909656325,Y
6842752346309643525,Y
6842725047690480901,Y
6842613226253962502,Y
6842580222433316101,Y
